CODE	KOREAN_LABEL	ENGLISH_LABEL
M8401/3	아포크린 선암종	Apocrine adenocarcinoma
M8402/0	한선종, NOS	Hidradenoma, NOS
M8402/3	한선암종	Hidradenocarcinoma
M8403/0	한선종, NOS	Spiradenoma, NOS
M8403/3	악성 외분비 한선종	Malignant eccrine spiradenoma
M8404/0	한선낭종	Hidrocystoma
M8405/0	유두상 한선종	Papillary hidradenoma
M8406/0	유두상 한낭선종	Syringocystadenoma papilliferum
M8406/3	유두상 한낭선암종	Syringocystadenocarcinoma papilliferum
M8407/0	한선종, NOS	Syringoma, NOS
M8407/3	미세낭성 부속기 암종	Microcystic adnexal carcinoma
M8408/0	외분비 유두상 선종	Eccrine papillary adenoma
M8408/3	말단 유두상 선암종	Digital papillary adenocarcinoma
M8409/0	땀구멍샘종, NOS	Poroma, NOS
M8409/2	상피내 한공암종	Porocarcinoma in situ
M8409/3	한공암종, NOS	Porocarcinoma, NOS
M8410/0	피지종	Sebaceoma
M8410/3	피지의 암종	Sebaceous carcinoma
M8413/3	외분비 선암종	Eccrine adenocarcinoma
M8420/0	귀지 선종	Ceruminous adenoma
M8420/3	귀지 선암종	Ceruminous adenocarcinoma
M8430/1	점액표피모양 종양	Mucoepidermoid tumour
M8430/3	점액표피모양 암종	Mucoepidermoid carcinoma
M8440/0	낭선종, NOS	Cystadenoma, NOS
M8440/3	낭선암종, NOS	Cystadenocarcinoma, NOS
M8441/0	장액성 낭선종, NOS	Serous cystadenoma, NOS
M8441/2	장액성 상피내 암종	Serous intraepithelial carcinoma
M8441/3	장액성 암종, NOS	Serous carcinoma, NOS
M8442/1	장액성 경계형 종양, NOS	Serous borderline tumor, NOS
M8443/0	투명세포 낭선종	Clear cell cystadenoma
M8450/0	유두상 낭선종, NOS	Papillary cystadenoma, NOS
M8450/3	유두상 낭선암종, NOS	Papillary cystadenocarcinoma, NOS
M8451/1	경계형 악성의 유두상 낭선종	Papillary cystadenoma, borderline malignancy
M8452/1	난소의 고형 가유두모양 종양	Solid pseudopapillary tumour of ovary
M8452/3	췌장의 고형 가유두모양 신생물	Solid pseudopapillary neoplasm of pancreas
M8453/0	관내 유두상-점액성 선종	Intraductal papillary-mucinous adenoma
M8453/2	고등급 이형성을 동반한 관내 유두상-점액성 신생물	Intraductal papillary-mucinous neoplasm with high grade dysplasia
M8453/3	침습성 암종과 관련된 관내 유두상-점액성 신생물	Intraductal papillary-mucinous neoplasm with an associated invasive carcinoma
M8454/0	방실결절의 낭성 종양	Cystic tumour of atrio-ventricular node
M8460/2	장액성 경계형 종양, 미세유두상 변형	Serous borderline tumor, micropapillary variant
M8460/3	저등급 장액성 암종	Low grade serous carcinoma
M8461/0	장액성 표면성 유두종	Serous surface papilloma
M8461/3	고등급 장액성 암종	High grade serous carcinoma
M8470/0	점액성 낭선종, NOS	Mucinous cystadenoma, NOS
M8470/2	고등급 형성이상을 동반한 점액성 낭성 신생물	Mucinous cystic neoplasm with high grade dysplasia
M8470/3	점액성 낭선암종, NOS	Mucinous cystadenocarcinoma, NOS
M8472/1	경계형 악성의 점액성 낭성 종양	Mucinous cystic tumour of borderline malignancy
M8474/0	장점액성 낭선종	Seromucinous cystadenoma
M8474/1	장점액성 경계형 종양	Seromucinous borderline tumor
M8474/3	장점액성 암종	Seromucinous carcinoma
M8480/0	점액성 선종	Mucinous adenoma
M8480/1	충수돌기의 저등급 점액성 신생물	Low grade appendiceal mucinous neoplasm
