TYPE	NAME	ABBREVIATION	TERM
2	Clinical	ED	Emergency Department(DEEDS) variables
2	Clinical	EKG.ATOM	General EKG
2	Clinical	EKG.IMP	Impression
2	Clinical	EKG.MEAS	EKG measurements
2	Clinical	ENDO.GI	Endoscopy
2	Clinical	ENDO.PULM	ENDO.PULM
2	Clinical	EYE	Ophthalmology and Optometry
2	Clinical	EYE.ANGIO	Eye angiography
2	Clinical	EYE.ANGIO.NEI	NEI eyeGENE electrooculogram
2	Clinical	EYE.CONTACT_LENS	Contact lens
2	Clinical	EYE.EOG.NEI	NEI eyeGENE electrooculogram
2	Clinical	EYE.ERG	Electroretinogram
2	Clinical	EYE.ERG.NEI	NEI eyeGENE electroretinogram
2	Clinical	EYE.GLASSES	Eyeglasses
2	Clinical	EYE.HETEROPHORIA	Heterophoria
2	Clinical	EYE.HX	Eye history
2	Clinical	EYE.HX.NEI	NEI eyeGENE eye history
2	Clinical	EYE.LENSOMETRY	Lensometry
2	Clinical	EYE.OCT	Ophthalmology Optical Coherence Tomography
2	Clinical	EYE.OCT.NEI	NEI eyeGENE optical coherence tomography
2	Clinical	EYE.PX	Eye physical exam
2	Clinical	EYE.PX.NEI	NEI eyeGENE eye physical exam
2	Clinical	EYE.REFRACTION	Refraction
2	Clinical	EYE.REFRACTION.NEI	NEI eyeGENE refractio
2	Clinical	EYE.RETINAL_RX	Retinal laser photocoagulatio
2	Clinical	EYE.SLITLAMP.NEI	NEI eyeGENE slit lamp biomicroscopy
2	Clinical	EYE.SPECULAR MICROSCOPY	EYE.SPECULAR MICROSCOPY
2	Clinical	EYE.TONOMETRY	Tonometry
2	Clinical	EYE.TONOMETRY.NEI	NEI eyeGENE tonometry
2	Clinical	EYE.US	Eye ultrasound
2	Clinical	EYE.VISUAL_FIELD	Visual field
2	Clinical	EYE.VISUAL_FIELD.NEI	NEI eyeGENE visual field
2	Clinical	FUNCTION	Physical function
2	Clinical	GEN.US	General ultrasound
2	Clinical	GI	Gastroenterology
2	Clinical	H&P.HX	History
2	Clinical	H&P.PX	Physical exam
2	Clinical	H&P.SURG PROC	Surgical procedure history
2	Clinical	HEMODYN.ATOM	General hemodynamics
2	Clinical	HEMODYN.MOLEC	Specific hemodynamics
2	Clinical	HL7.CCDA	HL7 Consolidated Clinical Document Architecture (CCDA)
2	Clinical	HL7.SMP	HL7 Standardization Medication Profile (SMP)
2	Clinical	HRTRATE.ATOM	General heart rate
2	Clinical	HRTRATE.MOLEC	Specific heart rate
2	Clinical	HRTRATE.PSTN.MOLEC	Heart rate taken in specific position
2	Clinical	HRTRATE.TIMED.MOL	Timed specific Heart rate
2	Clinical 	ICU	ICU
2	Clinical	IEEE Rosetta	IEEE Rosetta
2	Clinical	IO_IN_SALTS+CALS	Intake of salts + calories
2	Clinical	IO_IN.ATOM	General intake
2	Clinical	IO_IN.INFUS	Infusion pump intake
2	Clinical	IO_IN.MOLEC	Specific intake	
2	Clinical	IO_IN.SUMMARY	Intake summary
2	Clinical	IO_IN.TIMED.MOLEC	Timed specific intake
2	Clinical	IO_OUT.ATOM	General output
2	Clinical	IO_OUT.MOLEC	Specific output
2	Clinical	IO_OUT.TIMED.MOLE	Timed specific output
2	Clinical	IO.TUBE	Intake and Output - tube
2	Clinical	MEDS	Medications
2	Clinical	NEMSIS	National Emergency Medical Service Information System (NEMSIS)
2	Clinical	NEONAT	Neonatology
2	Clinical	NEURO	Neurology
2	Clinical	NIH.COGNITIVE	NIH - cognitive
2	Clinical	NIH.MOTOR	NIH - motor
2	Clinical	NIH.SENSORY	NIH - sensory
2	Clinical	NUTRITION&DIETETICS	Nutrition and Dietetics
2	Clinical	OB.US	OB ultrasound
2	Clinical	OBGYN	Obstetric and Gynecology
2	Clinical	ONCOLOGY	Oncology
2	Clinical	PANEL.ADMIN	Administrative information panel
2	Clinical	PANEL.APTA	American Physical Therapy Associationi(APTA) panel
2	Clinical	PANEL.ART	Antiretroviral therapy Panels
2	Clinical	PANEL.BDYTMP	Temperature Panel
2	Clinical	PANEL.BP	Blood pressure Panels
2	Clinical	PANEL.CARDIAC	Cardiac Panels
2	Clinical	PANEL.CLIN	Clinical panels
2	Clinical	PANEL.CLIN.RISK	Clinical Risk Panel
2	Clinical	PANEL.CLIN.VET	PANEL.CLIN.VET
2	Clinical	PANEL.CV	CV Panels
2	Clinical	PANEL.DEVICES	Panel.devices
2	Clinical	PANEL.DOC	Documents panels
2	Clinical	PANEL.ED	Emergency Department(DEEDS) panel
2	Clinical	PANEL.EYE	Ophthalmology panels
2	Clinical	PANEL.FUNCTION	Function panel
2	Clinical	PANEL.H&P	HandP panels
2	Clinical	PANEL.HL7.CCDA	HL7 Consolidated Clinical Document Architecture(CCDA) set
2	Clinical	PANEL.IEEE ROSETTA	IEEE Rosetta panels
2	Clinical	PANEL.IO	IO Panels
2	Clinical	PANEL.MEDS	PANEL.MEDS
2	Clinical	PANEL.NEMSIS	National Emergency Medical Service Information System(NEMSIS) panels
2	Clinical	PANEL.NEONAT	Neonatal Apgar panels
2	Clinical	PANEL.NEURO	Neurology panels
2	Clinical	PANEL.NIH.COGNITIVE	PANEL.NIH.COGNITIVE
2	Clinical	PANEL.NIH.MOTOR	PANEL.NIH.MOTOR
2	Clinical	PANEL.NUTRITION&DIET	Nutrition and dietetics panels
2	Clinical	PANEL.OB.US	Ob Ultrasound Panel
2	Clinical	PANEL.ONCO	Oncology panels
2	Clinical	PANEL.PATIENT SAFETY	Patient safety panel
2	Clinical	PANEL.PHENX	Consensus measures for Phenotypes and eXposures(PhenX) panels
2	Clinical	PANEL.PHR	Public Health Record Panels
2	Clinical	PANEL.PULM	Pulmonary panels
2	Clinical	PANEL.RAD	Radiology panels
2	Clinical	PANEL.SURG	Surgery panels
2	Clinical	PANEL.TRAUMA	Trauma panel
2	Clinical	PANEL.TUMRRGT	Tumor Registry Panels
2	Clinical	PANEL.UPDRS	Unified Parkinson's Disease Rating Scale(UPDRS) panel
2	Clinical	PANEL.US.URO	Urology US Panel
2	Clinical	PANEL.VACCIN	Vaccination records panel
2	Clinical	PANEL.VITALS	Vital Signs Panels
2	Clinical	PATIENT SAFETY	Patient safety
2	Clinical	PHENX	Consensus measures for Phenotypes and eXposures(PhenX)
2	Clinical	PUBLICHEALTH	Public Health
2	Clinical	PULM	Respiratory measures and Ventilator management
2	Clinical	RAD	Radiology
2	Clinical	RESP.ATOM	General respiratory
2	Clinical	RESP.MOLEC	Specific respiratory
2	Clinical	RESP.TIMED.MOLEC	Timed specific respiratory
2	Clinical	SKNFLD.MOLEC	Specific skin fold
2	Clinical	SURG	Surgery
2	Clinical	TRAUMA	Trauma
2	Clinical	TRNSPLNT.ORGAN	Organ transplant
2	Clinical	TUMRRGT	Tumor registry(NAACCR)
2	Clinical	UPDRS	Unified Parkinson's Disease Rating Scale(UPDRS)
2	Clinical	US.URO	Ultrasound
2	Clinical	VACCIN	Vaccination records
2	Clinical	VOLUME.MOLEC	Specific volume
3	Claims Attachment	ATTACH	HIPAA Attachment
3	Claims Attachment	ATTACH.AMB	Ambulance attachment
3	Claims Attachment	ATTACH.CARD	Cardiac attachment
3	Claims Attachment	ATTACH.CLINRPT	Clinical report attachment
3	Claims Attachment	ATTACH.CPHS	Children's Preventative Health System attachment
3	Claims Attachment	ATTACH.ED	Emergency department attachment
3	Claims Attachment	ATTACH.GI	Gastrointestinal attachment
3	Claims Attachment	ATTACH.LAB	Laboratory attachment
3	Claims Attachment	ATTACH.MEDS	Medication attachment
3	Claims Attachment	ATTACH.MODIFIER	Modifier attachment
3	Claims Attachment	ATTACH.OBS	Obstetrics attachment
3	Claims Attachment	ATTACH.PERIODONTAL	Periodontal attachment
3	Claims Attachment	ATTACH.REHAB	Rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.ABUSE	Alcohol/Substance abuse rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.CARDIAC	Cardiac rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.NURS	Specialized nursing attachment
3	Claims Attachment	ATTACH.REHAB.OT	Occupational therapy attachment
3	Claims Attachment	ATTACH.REHAB.PSYCH	Psychiatric rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.PT	Physical rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.PULM	Pulmonary rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.RT	Respiratory rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.SOCIAL	Medical social work attachment
3	Claims Attachment	ATTACH.REHAB.SPEECH	Speech therapy rehabilitation attachment
3	Claims Attachment	ATTACH.RESP	Respiratory attachment
3	Claims Attachment	PANEL.ATTACH.MOD	HIPAA attachment request modifier code sets
4	Surveys	MEPS	MEPS
4	Surveys	PANEL.SURVEY.ACT	Asthma Control Test(ACT) set
4	Surveys	PANEL.SURVEY.ADVAULT	ADVault survey set
4	Surveys	PANEL.SURVEY.AHRQ	Agency for Healthcare Research and Quality (AHRQ) survey set
4	Surveys	PANEL.SURVEY.ALSFRSR	ALS Functional Rating Scale - Revised set
4	Surveys	PANEL.SURVEY.AMNART	American National Adult Reading Test (AmNART) set
4	Surveys	PANEL.SURVEY.BDI	Beck Depression Inventory (BDI) set	
4	Surveys	PANEL.SURVEY.BIMS	Brief Interview for Mental Health Status (BIMS) set
4	Surveys	PANEL.SURVEY.BPI	Brief Pain Inventory (BPI) set
4	Surveys	PANEL.SURVEY.BRIEF	BRIEF Health Literacy Screening Tool set
4	Surveys	PANEL.SURVEY.CAM	Confusion Assessment Method (CAM) set
4	Surveys	PANEL.SURVEY.CARE	Continuity Assessment Record and Evaluation (CARE) set
4	Surveys	PANEL.SURVEY.CBS-8	Columbia Behavior Scale for Dementia (CBS-8) set
4	Surveys	PANEL.SURVEY.CDC	Centers for Disease Control (CDC) set
4	Surveys	PANEL.SURVEY.CESD	Center for Epidemiological Studies Depression (CESD) set
4	Surveys	PANEL.SURVEY.CHILD-PUGH	Child–Pugh set
4	Surveys	PANEL.SURVEY.CMS	Centers for Medicare & Medicaid Services set
4	Surveys	PANEL.SURVEY.CNPI	Checklist of Nonverbal Pain Indicators (CNPI) set
4	Surveys	PANEL.SURVEY.COOP	Dartmouth Cooperative Functional Status Test (COOP) set
4	Surveys	PANEL.SURVEY.COVID	COVID-19 related surveys
4	Surveys	PANEL.SURVEY.CSSRS	Columbia Suicide Severity Rating Scale (CSSRS) set
4	Surveys	PANEL.SURVEY.DAST	Drug Abuse Screening Test set
4	Surveys	PANEL.SURVEY.DUKE-AD	Duke Anxiety Depression Scale (DUKE-AD) set
4	Surveys	PANEL.SURVEY.EPDS	Edinburgh Postnatal Depression Scale Set
4	Surveys	PANEL.SURVEY.ESRD	End Stage Renal Disease (ESRD) facility survey set
4	Surveys	PANEL.SURVEY.GDS	Geriatric Depression Scale (GDS) set
4	Surveys	PANEL.SURVEY.GNHLTH	General Healthy survey set
4	Surveys	PANEL.SURVEY.GPCOG	General Practitioner Assessment of Cognition (GPCOG) set
