TYPE	NAME	ABBREVIATION	TERM
2	Clinical	BP.ATOM	Blood pressure atomic
2	Clinical	BP.CENT.MOLEC	Blood pressure central molecular
2	Clinical	BP.MOLEC	Blood pressure molecular
2	Clinical	BP.PSTN.MOLEC	Blood pressure positional molecular
2	Clinical	BP.TIMED.MOLEC	Blood pressure timed molecular
2	Clinical	BP.VENOUS.MOLEC	Blood pressure venous molecular
2	Clinical	CARD	Cardiology
2	Clinical	CARD.PROC	Cardiac procedures
2	Clinical	CARD.RISK	Cardiac Risk Scales Framingham
2	Clinical	CARD.US	Cardiac Ultrasound(was US.ECHO)
2	Clinical	CARD.US.DICOM	DICOM Simplified Adult Echo Report concepts
2	Clinical	CARDIO-PULM	Cardiopulmonary
2	Clinical	CLIN	Clinical NEC (not elsewhere classified)
2	Clinical	CLIN.RISK	Clinical Risk
2	Clinical	CLIN.VET	Clinical Veterinary
2	Clinical	CLINTRIAL	Clinical trails
2	Clinical	DENTAL	Dental
2	Clinical	DEVICES	Medical devices
2	Clinical	DOC.EPSOS	Smart Open Services for European Patients (epSOS) documents
2	Clinical	DOC.MISC	Miscellaneous documentation
2	Clinical	DOC.ONTOLOGY	Document Ontology
2	Clinical	DOC.PUBLICHEALTH	Public health documentation
2	Clinical	DOC.QUALITY	Quality documents
2	Clinical	DOC.REF	Referral documentation
2	Clinical	DOC.REF.CTP	Clinical trial protocol document
2	Clinical	DOCUMENT.REGULATORY	Regulatory documentation
2	Clinical	ED	Emergency (DEEDS)
2	Clinical	EKG.ATOM	Electrocardiogram atomic
2	Clinical	EKG.IMP	Electrocardiogram impression
2	Clinical	EKG.MEAS	Electrocardiogram measures
2	Clinical	ENDO.GI	Gastrointestinal endoscopy
2	Clinical	EYE	Eye
2	Clinical	EYE.ANGIO.NEI	NEI eyeGENE's angiography concepts
2	Clinical	EYE.CONTACT_LENS	Ophthalmology contact lens
2	Clinical	EYE.EOG.NEI	NEI eyeGENE's electrooculogram concepts
2	Clinical	EYE.ERG.NEI	NEI eyeGENE's electroretinogram concepts
2	Clinical	EYE.GLASSES	Ophthalmology glasses: Lens manufacturer (LM) & Prescription
2	Clinical	EYE.HETEROPHORIA	Ophthalmology heterophoria
2	Clinical	EYE.HX.NEI	NEI eyeGENE's eye history concepts
2	Clinical	EYE.LENSOMETRY	Lensometry
2	Clinical	EYE.OCT	Ophthalmology Optical Coherence Tomography (OCT)
2	Clinical	EYE.OCT.NEI	NEI eyeGENE's optical coherence tomography concepts
2	Clinical	EYE.PX	Ophthalmology physical findings
2	Clinical	EYE.PX.NEI	NEI eyeGENE's eye physical exam concepts
2	Clinical	EYE.REFRACTION	Ophthalmology refraction
2	Clinical	EYE.REFRACTION.NEI	NEI eyeGENE's refraction concepts
2	Clinical	EYE.RETINAL_RX	Ophthalmology treatments
2	Clinical	EYE.SLITLAMP.NEI	NEI eyeGENE's slit lamp biomicroscopy concepts
2	Clinical	EYE.TONOMETRY	Ophthalmology tonometry
2	Clinical	EYE.TONOMETRY.NEI	NEI eyeGENE's tonometry concepts
2	Clinical	EYE.US	Ophthalmology ultrasound
2	Clinical	EYE.VISUAL_FIELD	Ophthalmology visual field
2	Clinical	EYE.VISUAL_FIELD.NEI	NEI eyeGENE's visual field concepts
2	Clinical	FUNCTION	Functional status (e.g., Glasgow)
2	Clinical	GEN.US	General ultrasound
2	Clinical	GI	Gastroenterology
2	Clinical	H&P.HX	History
2	Clinical	H&P.PX	Physical
2	Clinical	H&P.SURG PROC	Surgical procedure
2	Clinical	HEMODYN.ATOM	Hemodynamics anatomic
2	Clinical	HEMODYN.MOLEC	Hemodynamics molecular
2	Clinical	HL7.CCDA	HL7 Consolidated Clinical Document Architecture
2	Clinical	HRTRATE.ATOM	Heart rate atomic
2	Clinical	HRTRATE.MOLEC	Heart rate molecular
2	Clinical	HRTRATE.PSTN.MOLEC	Heart rate positional molecular
2	Clinical	HRTRATE.TIMED.MOL	Heart rate timed molecular
2	Clinical	IEEE Rosetta	IEEE Rosetta
2	Clinical	IO.TUBE	Input/Output of tube
2	Clinical	IO_IN.ATOM	Input/Output atomic
2	Clinical	IO_IN.INFUS	Infusion pump intake measures
2	Clinical	IO_IN.MOLEC	Input/Output molecular
2	Clinical	IO_IN.SUMMARY	Input/Output summary
2	Clinical	IO_IN.TIMED.MOLEC	Input/Output timed molecular
2	Clinical	IO_IN_SALTS+CALS	Input/Output electrolytes and calories
2	Clinical	IO_OUT.ATOM	Input/Output atomic
2	Clinical	IO_OUT.MOLEC	Input/Output molecular
2	Clinical	IO_OUT.TIMED.MOLE	Input/Output timed molecular
2	Clinical	MEDS	Medications
2	Clinical	NEMSIS	National EMS Information System data
2	Clinical	NEONAT	Neonatology variables
2	Clinical	NEURO	Neurology
2	Clinical	NIH.COGNITIVE	NIH Toolbox Cognitive Domain
2	Clinical	NIH.MOTOR	NIH Toolbox Motor Domain
2	Clinical	NIH.SENSORY	NIH Toolbox Sensory Domain
2	Clinical	NUTRITION&DIETETICS	Nutrition and Dietetics
2	Clinical	OB.US	Obstetric ultrasound
2	Clinical	OBGYN	Obstetric/Gynecology
2	Clinical	ONCOLOGY	Oncology
2	Clinical	PANELADMIN	Administrative information panel
2	Clinical	PANELAPTA	American Physical Therapy Association panel
2	Clinical	PANELART	Antiretroviral therapy order set
2	Clinical	PANELBDYTMP	Body temperature order set
2	Clinical	PANELBP	Blood pressure order set
2	Clinical	PANELCARDIAC	Cardiac studies order set
2	Clinical	PANELCLIN	Clinical NEC (not elsewhere classified) set
2	Clinical	PANELCLIN.RISK	Clinical risk Panel
2	Clinical	PANELCV	Cardiovascular order set
2	Clinical	PANELDEVICES	Medical devices order set
2	Clinical	PANELDOC	Documents panels
2	Clinical	PANELED	Emergency (DEEDS) order set
