TYPE	NAME	ABBREVIATION	TERM
4	Surveys	SURVEY.PROWL	Patient Reported Outcomes with LASIC surveys
4	Surveys	SURVEY.QRDA	Quality Health Reporting Document Architecture (QRDA) survey
4	Surveys	SURVEY.R-OUTCOMES	R-Outcomes survey
4	Surveys	SURVEY.RFC	Residual Functional Capacity (RFC) survey
4	Surveys	SURVEY.RUDAS	Rowland Universal Dementia Assessment Scale (RUDAS)
4	Surveys	SURVEY.SAMHSA	Substance Abuse and Mental Health Services Administration (SAMHSA) survey
4	Surveys	SURVEY.SDOH	Social Determinants of Health
4	Surveys	SURVEY.SEEK	Safe Environment for Every Kid
4	Surveys	SURVEY.SKINDEX	Skindex
4	Surveys	SURVEY.SLP	Speech-language parthology(SLP) surveys
4	Surveys	SURVEY.SOFA	Sequential Organ Failure Assessment(SOFA) survey
4	Surveys	SURVEY.TAPS	Tabacco, Alcohol, Prescription and other Substance tool
4	Surveys	SURVEY.USSGFHT	United States Surgeon General Family Health Tool (USSGFHT) survey
4	Surveys	SURVEY.WELLRX	WellRX Questionnaire
4	Surveys	TIMP	Test of Infant Motor Performance(TIMP) survey
